,Unnamed: 0,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
3445,37,NA1_4067957999,19,34,45,59899,75324,166.8,166.8,57387,1,1,3,1,0,0,0,LOSS
3447,39,NA1_4067001232,44,53,95,177216,179132,291.6,291.6,84038,1,1,4,0,2,1,0,LOSS
3449,41,NA1_4066958881,14,24,33,36108,54616,255.8,255.8,38871,1,1,1,1,1,3,0,LOSS
3451,43,NA1_4065632290,40,42,88,112940,105446,264,264,60976,2,2,2,1,1,2,0,LOSS
3453,45,NA1_4065587147,85,79,120,222420,256526,276.6,276.6,117019,2,1,5,0,2,0,0,LOSS
3455,47,NA1_4064529227,39,51,86,102240,128892,209.2,209.2,52417,3,4,0,1,0,1,0,LOSS
3457,49,NA1_4062983340,17,32,54,45639,75734,190.4,190.4,46231,1,2,1,2,3,0,0,LOSS
3459,51,NA1_4053247836,32,51,65,94537,132104,149.6,149.6,55563,0,1,2,2,1,2,0,LOSS
3461,53,NA1_4052258476,42,55,104,148327,183248,263.4,263.4,71297,1,4,3,0,0,1,0,LOSS
3463,55,NA1_4051252860,25,48,46,63234,83488,243.8,243.8,45699,2,1,3,1,1,1,0,LOSS
3465,57,NA1_4041940204,68,79,159,190408,211382,248.8,248.8,90892,0,1,2,2,1,1,0,LOSS
3467,59,NA1_4041839135,37,46,82,112414,113309,305.4,305.4,61611,1,1,2,2,1,0,0,LOSS
3469,61,NA1_4041866552,25,47,64,80460,88686,175.2,175.2,48518,2,3,0,1,0,2,0,LOSS
3471,63,NA1_4041864193,38,54,74,93600,110875,201.6,201.6,58006,3,2,3,1,1,0,0,LOSS
3473,65,NA1_4041831968,52,50,118,112834,158724,99.8,99.8,74228,1,2,2,1,2,0,0,LOSS
3475,67,NA1_4041788397,32,57,67,73237,138757,225.4,225.4,57342,1,3,1,1,2,2,0,LOSS
3477,69,NA1_4041775788,46,54,89,95874,173788,204.8,204.8,69479,0,3,1,2,1,1,0,LOSS
3479,71,NA1_4041712974,30,47,63,107272,121745,239.6,239.6,54397,2,2,2,1,0,2,0,LOSS
3481,73,NA1_4041354961,35,41,74,82920,103281,279.2,279.2,59552,1,2,2,2,1,1,0,LOSS
3483,75,NA1_4022364204,16,40,36,56661,119268,245.6,245.6,51962,1,3,2,1,1,2,0,LOSS
3485,77,NA1_4022373186,54,72,102,144916,170835,288.8,288.8,66915,3,3,1,0,0,0,0,LOSS
3487,79,NA1_4022361573,69,64,119,230857,200043,252.8,252.8,96536,1,2,2,2,0,0,0,LOSS
3489,81,NA1_4020130048,39,48,113,103600,109985,315.4,315.4,58416,1,3,1,1,1,2,0,LOSS
3491,83,NA1_4020088257,36,47,76,105982,111474,322.2,322.2,54964,3,2,2,0,0,1,0,LOSS
3493,1,NA1_4171613408,40,36,68,72156,79367,359.8,359.8,53577,3,1,2,1,0,0,0,LOSS
3495,3,NA1_4171557713,60,50,148,150788,142173,284.4,284.4,70826,1,1,2,3,0,1,0,LOSS
3497,5,NA1_4171592304,49,50,99,114938,121488,315.8,315.8,63409,2,2,2,0,2,1,0,LOSS
3499,7,NA1_4171505864,62,64,148,180343,183711,198.8,198.8,85190,0,1,4,2,1,0,0,LOSS
3501,9,NA1_4171306354,59,76,130,166692,257836,140.6,140.6,93054,3,0,2,1,1,1,0,LOSS
3503,11,NA1_4171268724,83,75,194,261865,293108,214,214,103709,0,2,2,1,2,2,0,LOSS
3505,13,NA1_4171256077,16,24,43,29565,45254,254.2,254.2,30304,1,4,2,0,1,1,0,LOSS
3507,15,NA1_4171270096,57,56,103,134862,188574,184.4,184.4,77990,2,1,4,0,2,1,0,LOSS
3509,17,NA1_4171194425,36,47,101,96515,129085,216.4,216.4,57975,0,1,2,1,4,1,0,LOSS
3511,19,NA1_4171201300,21,44,53,60165,78702,304.8,304.8,44884,0,1,2,2,1,1,0,LOSS
3513,21,NA1_4171146214,57,66,123,204127,256500,309.4,309.4,79398,1,2,2,1,0,1,0,LOSS
3515,23,NA1_4171122781,41,60,83,83114,123864,278.2,278.2,59988,2,3,2,1,1,0,0,LOSS
3517,25,NA1_4170776621,50,45,126,140929,165564,238.2,238.2,80168,3,0,4,1,1,0,0,LOSS
3519,27,NA1_4170754427,45,42,99,98579,149606,243.2,243.2,59979,1,3,2,0,0,3,0,LOSS
3521,29,NA1_4170732921,23,32,63,61292,78227,276.8,276.8,43358,1,1,3,1,1,1,0,LOSS
3523,31,NA1_4170750411,45,50,97,115860,124436,209,209,60649,2,2,3,0,1,1,0,LOSS
3525,33,NA1_4169333460,61,61,138,180124,192654,264.8,264.8,85098,1,2,2,2,0,1,0,LOSS
3527,35,NA1_4169283191,58,52,107,124929,130059,251.4,251.4,66572,1,2,3,1,1,1,0,LOSS
3529,37,NA1_4169269568,51,50,117,134479,128982,235.8,235.8,73489,0,0,4,2,2,1,0,LOSS
3531,39,NA1_4167416155,55,55,106,151359,162871,212.2,212.2,78405,0,2,2,1,0,1,0,LOSS
