,Unnamed: 0,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
478,78,NA1_4164746520,54,35,119,87482,90479,197,197,61711,1,1,2,2,1,2,1,WIN
480,80,NA1_4164205371,58,42,127,107789,128228,317.4,317.4,66224,0,1,4,2,1,1,1,WIN
482,82,NA1_4164212609,50,45,117,125250,90964,372.8,372.8,60207,1,1,3,2,1,0,1,WIN
484,84,NA1_4164200259,47,45,100,105308,133771,205.8,205.8,68719,1,4,1,1,1,2,1,WIN
486,86,NA1_4164162857,53,50,113,114348,157889,289,289,70703,1,1,2,1,4,1,1,WIN
488,88,NA1_4163370842,41,34,117,85263,76467,285.6,285.6,52326,0,0,1,3,3,1,1,WIN
490,90,NA1_4163323618,61,50,145,195696,151435,247.4,247.4,92022,0,2,1,3,0,1,1,WIN
492,92,NA1_4163302372,42,33,87,83722,83335,213,213,55553,1,2,1,3,1,2,1,WIN
494,94,NA1_4163267310,48,36,94,108385,77538,274.6,274.6,63530,1,2,1,2,0,1,1,WIN
496,96,NA1_4163217984,35,50,63,74778,93669,252.6,252.6,46667,2,3,1,0,1,1,1,WIN
498,98,NA1_4163234010,50,27,126,108098,86102,269,269,61702,2,1,2,1,2,0,1,WIN
500,100,NA1_4162376406,45,29,117,105914,79550,179.8,179.8,56295,2,1,2,1,0,1,1,WIN
502,102,NA1_4162338962,32,41,66,83002,90019,179.8,179.8,59588,3,1,3,2,1,0,1,WIN
