,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?
20,NA1_4164746582,50,43,108,119337,116117,1916,67217,1,2,2,2,2,1,1
21,NA1_4164746582,43,51,67,109132,134019,1390,62971,2,4,1,1,0,1,0
22,NA1_4163536678,55,59,123,164598,197387,1580,80190,1,4,2,0,1,2,1
23,NA1_4163536678,59,55,150,180127,173884,1364,77893,3,1,3,1,1,0,0
24,NA1_4162948166,71,39,192,263367,168914,1533,92859,2,0,2,1,2,0,1
25,NA1_4162948166,39,71,80,159027,277673,1673,87968,1,1,1,2,1,1,0
26,NA1_4161205244,47,26,133,98457,111480,1474,64061,0,2,3,0,4,1,1
27,NA1_4161205244,26,47,54,96937,107949,1278,57122,1,1,4,1,0,2,0
28,NA1_4160497881,53,40,124,116987,116090,1567,68063,0,3,2,2,0,1,1
29,NA1_4160497881,40,53,77,108471,127448,1105,64804,1,1,1,3,0,1,0
30,NA1_4160476862,40,27,79,84141,61622,1514,51947,2,1,4,0,1,0,1
31,NA1_4160476862,27,40,50,51500,87787,1576,46193,1,1,2,2,1,0,0
32,NA1_4160493988,50,32,120,97058,74877,1076,60458,2,0,2,3,1,0,1
33,NA1_4160493988,32,50,68,71907,101114,1948,54564,0,2,2,2,1,1,0
34,NA1_4160251375,76,59,202,300089,246039,1607,100863,2,2,4,0,1,0,1
35,NA1_4160251375,59,76,145,232579,318105,565,99431,1,2,0,2,2,2,0
36,NA1_4159402286,42,24,126,67098,77109,1829,51622,1,2,2,0,3,2,1
37,NA1_4159402286,24,42,54,69084,74444,1353,46035,1,3,1,1,0,1,0
38,NA1_4159349373,52,42,114,120032,134197,1305,65403,2,4,2,0,1,1,1
39,NA1_4159349373,42,52,104,118109,125001,1307,61400,3,2,0,2,1,2,0
40,NA1_4159363880,58,46,135,150719,138935,1103,72330,0,2,2,1,1,3,1
41,NA1_4159363880,46,58,103,128609,162954,1908,66008,1,1,2,1,2,1,0
42,NA1_4159257483,51,53,116,122248,172006,1537,67753,0,2,2,2,1,2,1
43,NA1_4159257483,53,51,112,152561,128702,1111,66870,1,0,3,3,1,1,0
44,NA1_4158800849,56,38,123,115048,92945,1670,63758,2,1,0,2,0,1,1
45,NA1_4158800849,37,56,80,80553,122951,815,59170,1,3,2,0,3,0,0
46,NA1_4158384120,64,60,111,164439,206330,1633,89390,1,0,4,1,2,1,1
47,NA1_4158384120,60,64,150,190781,172598,1532,92351,0,1,2,2,2,0,0
48,NA1_4158342255,59,45,136,152968,149163,782,70067,1,3,1,1,0,2,1
49,NA1_4158342255,45,59,113,130311,159517,1504,63047,0,1,4,1,2,1,0
50,NA1_4158325636,49,55,107,165053,174833,1587,76517,3,2,2,1,1,0,1
51,NA1_4158325636,54,49,124,154941,171668,1414,72226,1,1,3,1,2,1,0
52,NA1_4158322312,55,37,115,120164,112822,1043,69533,1,0,4,3,0,1,1
53,NA1_4158322312,37,55,86,109025,126904,2031,63189,2,1,3,0,2,0,0
54,NA1_4158177097,69,67,166,291897,262810,536,96458,1,2,2,1,2,1,1
55,NA1_4158177097,67,69,176,237480,314901,1440,96193,0,3,1,1,1,3,0
56,NA1_4157749060,56,43,131,139835,157267,1823,71966,0,2,3,0,1,2,1
57,NA1_4157749060,43,56,99,147422,150992,1392,68172,2,2,3,1,0,2,0
58,NA1_4156101949,52,56,90,169907,164364,1208,87639,2,0,3,1,1,1,1
59,NA1_4156101949,56,52,125,157669,177116,1603,87361,1,2,3,1,2,0,0
60,NA1_4154602348,69,38,157,146547,98313,2041,69480,2,2,2,1,1,1,1
61,NA1_4154602348,38,69,80,82697,152692,1237,62640,0,1,2,1,2,2,0
62,NA1_4153463810,70,89,134,277957,252609,1547,105434,3,1,3,1,1,0,1
63,NA1_4153463810,89,70,181,239594,298688,1849,107500,2,2,3,1,0,2,0
64,NA1_4153480472,52,46,113,113687,111538,1748,63119,3,3,0,1,0,1,1
65,NA1_4153480472,46,52,95,101864,121324,1319,59707,0,4,1,1,2,2,0
66,NA1_4153441222,74,63,207,192155,173511,1135,93507,1,1,4,0,2,0,1
67,NA1_4153441222,63,74,124,164882,214529,1482,87294,1,3,2,1,0,2,0
68,NA1_4153368607,43,39,97,100991,121228,1657,71768,1,1,4,1,1,0,1
69,NA1_4153368607,39,43,94,112393,105953,2267,67767,0,1,3,1,2,1,0
70,NA1_4153376338,22,9,66,32847,17997,883,30415,1,0,4,1,2,0,1
71,NA1_4153376338,8,22,21,14772,34048,1479,27030,1,2,2,1,3,0,0
72,NA1_4152352187,60,51,149,168045,141242,1004,82928,1,1,2,2,2,2,1
73,NA1_4152352187,51,60,87,131892,182064,1709,76719,2,2,4,1,0,1,0
74,NA1_4152308734,51,36,139,122638,102288,1437,69443,0,1,4,1,2,0,1
75,NA1_4152308734,35,51,72,97881,134586,1157,63191,1,1,4,0,1,1,0
76,NA1_4152249766,57,40,139,143156,121695,868,70315,1,1,3,2,1,1,1
77,NA1_4152249766,40,57,79,111890,155421,1910,64734,2,3,1,0,1,2,0
78,NA1_4152207469,50,45,115,106451,122656,1189,62056,1,3,2,0,1,2,1
79,NA1_4152207469,45,50,98,107722,116107,1967,59535,1,1,0,3,0,2,0
80,NA1_4151275417,47,27,101,129253,91423,2145,65078,1,0,4,2,2,0,1
